Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2013-02-23,Provo,Natural,New Snow,16,2400.0,Southeast,10400.0,"40.577390000000, -111.598563000000"
2013-02-25,Salt Lake,Skier,New Snow/Old Snow Interface,12,1800.0,Southeast,10000.0,"40.593539000000, -111.651821000000"
2013-02-24,Salt Lake,Snowboarder,New Snow/Old Snow Interface,10,3600.0,South,10200.0,"40.599747000000, -111.645770000000"
2013-02-24,Salt Lake,Skier,Facets,14,1800.0,Northwest,9800.0,"40.591926000000, -111.598005000000"
2013-02-28,Salt Lake,Natural,Facets,16,4800.0,Northeast,10600.0,"40.596057000000, -111.666670000000"
2013-02-26,Salt Lake,Skier,Facets,12,1200.0,North,8900.0,"40.680833000000, -111.597576000000"
2013-03-01,Skyline,Snowmobiler,Facets,24,3000.0,Northeast,10400.0,"39.043600000000, -111.519000000000"
2013-03-02,Salt Lake,Snowboarder,Facets,24,3600.0,Northeast,9400.0,"40.659448000000, -111.710830000000"
2013-03-02,Provo,Natural,Facets,8,9600.0,Northwest,6000.0,"40.477770000000, -111.509171000000"
2013-03-02,Provo,Natural,Wet grains,8,15000.0,Southeast,10100.0,"40.379276000000, -111.630321000000"
2013-03-03,Salt Lake,Skier,Density Change,8,2100.0,Northwest,9800.0,"40.597010000000, -111.650963000000"
2013-03-03,Provo,Natural,New Snow/Old Snow Interface,24,18000.0,Southeast,10000.0,"40.364309000000, -111.624334000000"
2013-03-03,Provo,Natural,Unknown,10,18000.0,Southeast,10400.0,"40.365355000000, -111.626480000000"
2013-03-03,Provo,Natural,Facets,10,6000.0,Northeast,6000.0,"40.369540000000, -111.568415000000"
2013-03-04,Salt Lake,Skier,New Snow/Old Snow Interface,8,7200.0,North,10200.0,"40.600920000000, -111.634655000000"
2013-03-04,Provo,Natural,Density Change,12,18000.0,Southeast,10100.0,"40.407810000000, -111.634054000000"
2013-03-04,Salt Lake,Unknown,Unknown,8,3000.0,East,10000.0,"40.651992000000, -111.592941000000"
2013-03-05,Salt Lake,Skier,New Snow/Old Snow Interface,10,6000.0,North,10800.0,"40.592187000000, -111.671047000000"
2013-03-03,Logan,Natural,Ground Interface,16,15681.2955312705,North,19406.039867567,"41.688713000000, -111.753402000000"
2013-03-04,Salt Lake,Skier,Facets,30,4200.0,Northwest,7300.0,"40.743290000000, -111.630106000000"
2013-03-09,Salt Lake,Skier,Density Change,5,4800.0,South,9800.0,"40.585278000000, -111.686497000000"
2013-03-10,Salt Lake,Skier,Density Change,4,10800.0,South,10700.0,"40.590330000000, -111.670232000000"
2013-03-10,Salt Lake,Skier,New Snow,6,4200.0,East,10100.0,"40.598313000000, -111.633453000000"
