OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
23424,1916,CA,USF,CNF, ,00000000,,,9,,1,151.05222,,,,,00000093,,4223.61431957664,878542.2690019
23425,1916,CA,USF,CNF, ,00000000,,,14,,1,128.86568,,,,,00000091,,3893.83882199068,741499.197512715
23426,1916,CA,USF,BDF, ,00000000,,,14,,1,417.22531,,,,,00000000,,6151.47845226715,2446144.3851633
23427,1916,CA,USF,BDF, ,00000000,,,14,,1,654.76123,,,,,00000000,,10802.306755719,3897245.2566121
23428,1916,CA,USF,BDF, ,00000000,,,14,,1,159.97171,,,,,00000000,,3832.66983709862,951269.307278933
23429,1916,CA,USF,BDF, ,00000000,,,14,,1,106.97877,,,,,00000000,,3008.76040819456,635597.258172567
23430,1916,CA,USF,BDF, ,00000000,,,14,,1,64.800148,,,,,00000000,,2483.59451434776,384753.032336654
23431,1960,CA,USF,SNF, ,00000000,,,14,,1,50.79475,,,,,00000001,1960,2896.20539655087,327949.008003305
23432,1920,CA,USF,CNF, ,00000000,,,9,,1,303.87088,,,,,00000001,,5869.3940673723,1748266.8728712
23433,1920,CA,USF,CNF, ,00000000,,,9,,1,126.00901,,,,,00000005,,3788.64751225542,723915.208793969
23434,1920,CA,USF,MDF, ,00000000,,,1,,1,298.76349,,,,,00000045,,6233.18974583693,2153779.35183446
23435,1920,CA,USF,MDF, ,00000000,,,1,,1,6838.1108,,,,,00000059,,37023.9666595022,48579929.0606311
23436,1920,CA,USF,MDF, ,00000000,,,1,,1,303.83533,,,,,00000061,,8726.82467817205,2188145.94707275
23437,1920,CA,USF,MDF,CUPPY GULCH,00000000,1920/08/05 00:00:00+00,,1,,1,70.397202,,,,,00000055,,3121.79626449285,506813.981651996
23438,1920,CA,USF,MDF,TIMBERED MT.,00000000,1920/05/15 00:00:00+00,,9,,1,14.313206,,,,,00000001,,1590.28412999062,103942.326157582
23439,1920,CA,USF,MDF,GLASS MT.,00000000,1920/07/01 00:00:00+00,,1,,1,14.220443,,,,,00000007,,1462.45784362775,102904.593944288
23440,1920,CA,USF,MDF,ROSS CREEK,00000000,1920/07/19 00:00:00+00,,1,,1,1.943433,,,,,00000021,,453.910524177598,14158.480299428
23441,1920,CA,USF,SRF,HARDSCABBLE,00000000,1920/08/18 00:00:00+00,,5,,1,199.13324,,,,,00000102,,4282.01133444598,1455388.32878271
23442,1920,CA,USF,SRF, ,00000000,1920/08/04 00:00:00+00,,1,,1,3.9832494,,,,,00400704,,591.271690657569,27749.6357061796
23443,1920,CA,USF,SRF, ,00000000,1920/08/04 00:00:00+00,,14,,1,3.9831891,,,,,00400808,,591.203436585899,27743.2297573087
23444,1920,CA,USF,SRF, ,00000000,1920/11/02 00:00:00+00,,9,,1,34.980396,,,,,00400709,,1810.35569409943,243859.441894369
23445,1931,CA,USF,SRF,ATKINS CREEK,00000000,1931/08/25 00:00:00+00,,3,,1,25.937897,,,,,00200290,,1718.14618805058,185757.236708039
23446,1931,CA,USF,SRF,WINDY GAP,00000000,1931/07/04 00:00:00+00,,4,,1,61.254959,,,,,00400634,,2596.53749456973,425669.313057414
23447,1922,CA,USF,SHF, ,00000000,,,9,,1,163.71843,,,,,00000608,,4993.81271865095,1157370.74078473
23448,1922,CA,USF,SHF, ,00000000,,,9,,1,139.02563,,,,,00000041,,4485.10575448932,981486.601257298
23449,1922,CA,USF,SHF, ,00000000,,,9,,1,188.25996,,,,,00000028,,5761.62356472356,1310906.23653346
23450,1924,CA,CCO,LAC,BEE CYN,00000000,1924/06/15 00:00:00+00,,14,,1,1710.4459,,,,,00000000,,14756.3297230996,10233424.0700104
23451,1924,CA,CCO,LAC,MONROVIA C C,00000000,1924/07/25 00:00:00+00,,14,,1,57.024063,,,,,00000000,,2580.42232961742,337888.798334976
23452,1924,CA,CCO,LAC,SAN GABRIEL,00000000,1924/08/31 00:00:00+00,,14,,1,43049.914,,,,,00000000,,157640.262601146,255591032.322334
23453,1924,CA,CCO,LAC, ,00000000,,,14,,1,14.441848,,,,,00000000,,1145.21202033348,85742.2077700907
23454,1924,CA,CCO,LAC,HESSER CP.,00000000,1924/07/26 00:00:00+00,,14,,1,93.284019,,,,,00000000,,2800.49943182066,553671.011792465
23455,1924,CA,USF,LPF, ,00000000,,,9,,1,122.8321,,,,,00000027,,3137.43116593492,733914.981073486
23456,1912,CA,USF,SQF, ,00000000,,,9,,1,5379.0591,,,,,00000013,,29003.9905511618,34063915.7684319
23457,1912,CA,USF,SQF, ,00000000,,,1,,1,1369.5454,,,,,00000004,,14718.544991701,8531077.84939987
23458,1912,CA,USF,CNF, ,00000000,,,9,,1,53.631138,,,,,00000038,,2406.65927383069,310419.567920644
23459,1912,CA,USF,CNF, ,00000000,,,9,,1,70.430733,,,,,00000046,,2850.27951682744,407153.594037184
23460,1912,CA,USF,CNF, ,00000000,,,9,,1,6928.8403,,,,,00000044,,42034.9095006115,39699168.2510267
23461,1912,CA,USF,CNF, ,00000000,,,9,,1,112.44283,,,,,00000042,,3109.65593808091,644004.531728855
23462,1912,CA,USF,CNF, ,00000000,,,14,,1,2554.168,,,,,00000040,,21978.6055289519,14601708.4498276
23463,1912,CA,USF,CNF, ,00000000,,,14,,1,38.615505,,,,,00000043,,2141.46903153169,220599.416107073
23464,1912,CA,USF,MDF, ,00000000,,,9,,1,28.280447,,,,,00000021,,2017.6127785854,203418.91979545
23465,1912,CA,USF,SRF, ,00000000,1912/07/29 00:00:00+00,,14,,1,2.489538,,,,,00400762,,466.820266472917,17297.4660979267
23466,1977,CA,USF,INF, ,00000000,,,1,,1,27.790482,,,,,00005404,1970,1684.66536666226,176295.853384582
