city,state,date__,time__,shape,duration -- seconds,comments,date posted,latitude,longitude 
franklin,pa,2000-07-20,01:26:00,disk,900.0,third time  in two weeks,7/23/2000,41.3977778,-79.8316667
watertown,ny,2000-10-11,20:00:00,light,30.0,Was looking at the near full moon with binoculars when a very bright round light appeared to the left of the moon. at arms lenght it wa,12/2/2000,43.9747222,-75.9111111
foxboro,ma,2000-12-19,16:00:00,circle,15.0,I WAS HAVING MY OIL CHANGED&#44 SINCE THE NEW ENGLAND PATRIOTS PLAY ACCROSS THE STREET AND ARE BUILDING A NEW STADIUM&#44 I TOOK MY CAMCORDER,12/20/2000,42.0583333,-71.25
flagstaff,az,2000-09-22,19:41:00,other,3.0,At 7:41 p.m. mst a bright flare type light was seen four degrees below Polaris. 35 years of amateur astronomy and I&#39ve never seen that.,11/20/2002,35.1980556,-111.6505556
layton,ut,2000-04-30,22:00:00,triangle,60.0,Noticed a off grey triangle shape object moving from south to north just above horizon.,5/3/2000,41.0602778,-111.9702778
charlestown,ri,2000-02-28,21:30:00,light,1800.0,Light over submarine base&#44 Groton&#44 CT.,3/7/2000,41.3830556,-71.6422222
coram,ny,2000-03-01,04:45:00,light,20.0,the orb shot up very very  fast then twinkled at me. it left me thinking about past exploits,8/12/2008,40.8686111,-73.0019444
olympia,wa,2000-08-21,13:15:00,unknown,60.0,Had returned to  home. Was walking to the front door in a Southern approach. Noted a small single engine aircraft going over head at ab,8/25/2000,47.0380556,-122.8994444
woodland,ca,2000-10-30,21:12:00,sphere,480.0,It was approximately 9:12 PM in Woodland&#44  near Sacramento&#44 CA on October 30th. I was standing outside and noticed something flying slo,12/9/2000,38.6786111,-121.7722222
coatesville,pa,2000-09-09,03:30:00,light,120.0,Very bright light rising&#44 went very fast on an angle&#44 and disappeared.,9/17/2000,39.9830556,-75.8241667
sewell (washington township),nj,2000-06-27,22:50:00,triangle,120.0,observed UFO at two different times within 1-2 minutes time,7/16/2003,39.7663889,-75.1447222
houston,tx,2000-07-04,22:30:00,fireball,1200.0,two beautiful bright red fire like balls&#44 but really shape like footballs&#44 just standing still for about twenty min.&#44 then just gone&#33&#33,2/18/2001,29.7630556,-95.3630556
st. peter (outskirts of),mn,2000-06-21,23:15:00,circle,60.0,Bright yellowins green extrmely fast cirular object leaving a light trail as it traveled upward out of sight,7/11/2000,44.3236111,-93.9577778
gay head (aquinah),ma,2000-08-19,22:00:00,circle,60.0,Amber red pulsating circular pinwheel just over the ocean,12/9/2003,41.3436111,-70.8152778
slate hill,ny,2000-11-11,05:00:00,circle,120.0,Shaking light that flew into the sky from an empty field,3/11/2006,41.3908333,-74.4769444
onawa (near&#44 on i-29),ia,2000-05-05,19:30:00,changing,15.0,Ball of light separated into three lights and accelerated out of view.,8/5/2001,42.0266667,-96.0969444
kensington,md,2000-06-09,22:15:00,cylinder,2.0,Large&#44 oval shaped very bright&#44 white light (like a flash bulb) object&#44 about 150 feet above us,7/11/2000,39.0255556,-77.0766667
layton,ut,2000-09-28,20:00:00,triangle,300.0,Black triangle shaped object&#44 red and blue strobe-lit&#44 two and-a-half miles east of HAFB&#44 hovering at an altitude of 150-200 ft.,12/2/2000,41.0602778,-111.9702778
st. petersburg,fl,2000-05-28,22:00:00,fireball,60.0,Large fusia colored ball descending slowly to the ground.  color changed to orange/red and trail of smoke was visible,6/6/2000,27.7705556,-82.6794444
penn valley,ca,2000-06-29,23:50:00,circle,90.0,Having 1st  beer (drinking day) on deck&#44 yellow lite on&#44 decended NW to SW erratic in <90s. AFB said no activity in area.,7/11/2000,39.1961111,-121.19
rockford (southern skies of),il,2000-02-16,21:30:00,light,600.0,On Wed. Feb.16&#442000 I had just come out of the logli&#39s grocery store on State st. in Rockford&#44 IL. I placed my groceries in the van and,2/23/2000,42.2711111,-89.0938889
grand ledge,mi,2000-10-31,19:00:00,light,30.0,light traveling at high speed North to South-West,12/2/2000,42.7533333,-84.7463889
hugo,mn,2000-03-06,22:20:00,light,30.0,Me and my friend witness a bright blue light moving rapidly across the sky. It moved across 60 degrees of the sky approximately&#44 then d,3/7/2000,45.16,-92.9930556
freer,tx,2000-06-11,03:00:00,circle,300.0,TEXAS MUFON REPORT:  A 50 ft. circular object&#44 with red &amp; green flashing lights around it&#44 was seen hovering just off Tx Hwy 44,7/11/2000,27.8825,-98.6175
cygnet,oh,2000-10-31,19:15:00,egg,2700.0,The ship crossed the sky&#44 stopped shot up about a half mile&#44 hovered for a while and changed a multitude of colors and departed with us,12/2/2000,41.24,-83.6433333
mexico beach,fl,2000-03-27,21:40:00,circle,1800.0,Three circular objects disappearing and reappearing over the ocean.,4/1/2000,29.9477778,-85.4180556
saginaw (i-75 headed north mile marker 130 mi.),mi,2000-03-24,19:45:00,fireball,7.0,a white flash ball hurling......very quickly headed NE then disappearing,4/1/2000,43.4194444,-83.9508333
westminster,ca,2000-01-26,19:10:00,light,240.0,I observed an unusually bright pure red light by itself&#44 it was the size of a pea held at arms length. It was coming from the South Wes,2/16/2000,33.7591667,-118.0058333
west nyack,ny,2000-03-31,14:00:00,other,15.0,So I was playing basketball with my freinds and I saw a flying object in the sky. It was very bright and had three cicles and a sharp p,4/1/2000,41.0905556,-73.9183333
chula vista,ca,2000-07-21,18:00:00,other,180.0,Black&#44 shaped like a clover&#44 slowly rotating&#44 surrounded by what looked like heat waves.,7/29/2000,32.64,-117.0833333
escondido,ca,2000-03-12,20:37:00,light,300.0,saw 3 flickering lights slowly fade out and disapear at seperate times&#44 no sound and clear night.,3/16/2000,33.1191667,-117.0855556
syracuse,ny,2000-03-24,03:15:00,light,2.0,while driving on i690 by the lake.looking to the south.a small blue light shot down like a falling star but it blinked out not fading l,4/1/2000,43.0480556,-76.1477778
ridgefield,ct,2000-10-20,20:30:00,triangle,120.0,triangular ufo flew overhead,1/17/2004,41.2813889,-73.4986111
wilsonville,or,2000-01-18,19:45:00,unknown,60.0,Pulsating (like a strobe light) object in the sky&#44 traveling south to north&#44 then turning east.,1/22/2000,45.3,-122.7725
gilbert,az,2000-08-04,20:00:00,light,900.0,2 red star-like lights&#44 western sky&#44 moving towards the south east.  1st disapeared&#44 the next disapeared in the same spot.,8/19/2000,33.3527778,-111.7883333
austin,tx,2000-06-30,20:30:00,cylinder,30.0,We had a daylight sighting of a large cylindrical object  in Austin&#44 Tx which lasted 30 seconds before the object disappeared.,7/11/2000,30.2669444,-97.7427778
destin,fl,2000-11-20,22:30:00,fireball,6.0,Multi-color fireball&#44 Destin&#44 FL.,12/2/2000,30.3933333,-86.4958333
seattle,wa,2000-04-08,18:00:00,egg,1200.0,UFO&#39s are for real&#33,6/6/2000,47.6063889,-122.3308333
attleboro,ma,2000-09-01,20:45:00,circle,30.0,points of light curving top and bottom to the left with a bright shining round ball in the middle of the shape,9/17/2000,41.9444444,-71.2861111
reno,nv,2000-11-07,02:15:00,triangle,60.0,Large triangular craft with lights along the leading edge of the wing&#44 silently traveling at a high velocity.,12/2/2000,39.5297222,-119.8127778
addison,ny,2000-07-13,21:30:00,circle,900.0,i thought it was a star till it started moving.,7/23/2000,42.1027778,-77.2338889
raymondville,mo,2000-06-20,22:15:00,circle,90.0,WHITE HOT OBJECT&#44 TRAVELING AT GREAT SPEED.,7/11/2000,37.3397222,-91.8338889
kettleman city,ca,2000-12-22,03:30:00,light,1200.0,Red/Orange glowing light near powerlines.,2/18/2001,36.0083333,-119.9608333
palm beach gardens,fl,2000-08-20,09:35:00,changing,3600.0,Solid white&#44 round stationary object for 1 hour,8/25/2000,26.8230556,-80.1388889
bradenton,fl,2000-01-20,21:35:00,fireball,120.0,Bishop planetarium &#44luner eclipse&#44 telscopes were set on saturn&#44jupiter and the moon.We were sitting under a covered set of tables when,2/23/2000,27.4986111,-82.575
hillsborough,nj,2000-08-08,17:30:00,sphere,600.0,I saw a round metalic object that had indentations.  It was moved slowly across the sky.  the object appeared to move under its own pow,8/19/2000,40.4775,-74.6272222
eatontown,nj,2000-08-21,20:30:00,unknown,30.0,Sighted an object of  large white light that stayed on the horizon for about 1 minute then disappeared as if turned off.,8/25/2000,40.2961111,-74.0513889
hopewell,va,2000-07-31,21:00:00,fireball,5.0,Two witnesses saw a huge neon-green fireball travelling parallel to the ground&#44 behind treetops&#44 near Richmond VA on I-295,2/18/2001,37.3041667,-77.2875
pine haven,wy,2000-06-22,21:00:00,egg,45.0,The object was not a airplane&#44 or star&#44 if anything it was some NASA satalite or a UFO,2/18/2001,44.3577778,-104.81
wood dale,il,2000-04-25,02:10:00,other,120.0,Driving home from work&#44 I saw aircraft descending for ohara airport landing...four blocks from worksite&#44 I looked back to watch descent,5/3/2000,41.9633333,-87.9788889
victor,ny,2000-05-25,20:00:00,disk,60.0,Fast moving disck like object with red and green flashing lights.,3/4/2008,42.9825,-77.4091667
santa monica,ca,2000-06-19,21:40:00,triangle,15.0,i was walking my dog at about 9:40 pm-we live close to the beach&#44 LAX and Santa Monica airport-so i&#39m always noticing airplanes in the,6/21/2000,34.0194444,-118.4902778
sidney,me,2000-11-04,18:00:00,circle,600.0,The thing was light lik agiant fireball and dropped little things from it then it landed in our back yard,12/2/2000,44.4130556,-69.7294444
deer park,ny,2000-02-09,19:10:00,light,5.0,While driving on Commack Rd. I looked up and saw a bright light moving slowly.  At first I thought it was a plane&#44 but it suddenly took,2/16/2000,40.7616667,-73.3297222
seatac,wa,2000-01-29,10:00:00,fireball,300.0,Fireball streaking in southeast direction&#44 looked at first like a gigantic meteorite burning up in the atmosphere.,5/11/2000,47.4538889,-122.3205556
dillon,sc,2000-02-03,19:10:00,triangle,120.0,Very bright light with flaring out particles. long trail behind it. no pulsation of lights&#44 just a bright steady white light&#44 as if a c,2/23/2000,34.4163889,-79.3713889
moreno valley,ca,2000-05-01,09:23:00,changing,900.0,We noticed what we thought was a airplane wasn&#39t moving after about 10 minutes.,5/3/2000,33.9375,-117.2297222
apache junction,az,2000-06-27,21:40:00,light,360.0,Tinkerbell? ball of fast moving white light,7/11/2000,33.415,-111.5488889
devils lake,nd,2000-12-01,17:20:00,diamond,300.0,zig-zag moving craft&#44 with four white lights&#44 at a great speed,12/5/2001,48.1127778,-98.8647222
new york city,ny,2000-09-08,12:30:00,rectangle,960.0,New York City - 9/8/2000,9/17/2000,40.7141667,-74.0063889
concord,ca,2000-12-03,22:05:00,circle,1500.0,Large bright light and circular disk shaped object that hovered for nearly 25 min and disapeared with out a trace.,12/9/2000,37.9780556,-122.03
macon,ga,2000-06-01,15:00:00,other,600.0,eight bird shaped objects flying in a figure eight pattern,11/28/2007,32.8405556,-83.6325
solon,oh,2000-06-15,22:00:00,circle,30.0,red glowing circular object moving at high speed,7/23/2000,41.3897222,-81.4413889
las vegas,nv,2000-02-06,19:30:00,other,10.0,Grey box-like craft&#44 no lights&#44 silent&#44 being followed by a helicopter,2/27/2000,36.175,-115.1363889
fresno,ca,2000-03-07,22:00:00,formation,180.0,AS ME AND 3 FRIENDS WHERE GOING HME FROM MARDI GRAS EVENT IN FESNO&#44CA. MY GIRLFRIEND&#44IRENE&#44 NOTICED AN OBJECT W/ 3 LIGHTS ON IT. I PULL,3/16/2000,36.7477778,-119.7713889
evanston,il,2000-07-10,03:00:00,other,60.0,I saw a bright light similiar to a starburst fade out and disappear and then faded back to a very bright light.  It was about 3:10 a.m.,7/23/2000,42.0411111,-87.69
glenwood landing,ny,2000-02-02,17:00:00,changing,1200.0,I HAD SEEN AN AIRCRAFT ON THE HORIZON FIFST AS A CIGAR THEN A BALL,2/16/2000,40.8305556,-73.6391667
yampa,co,2000-10-17,19:00:00,light,3600.0,Two extremely bright star-like lights that flashed vivid red and green.,12/2/2000,40.1525,-106.9080556
cottonwood,az,2000-04-18,19:00:00,cylinder,15.0,Witnessed object for about 15 seconds. Looked like a rocket launch,4/26/2000,34.7391667,-112.0091667
gilbert,az,2000-07-12,20:00:00,light,900.0,The object was south of the phoenix area.  It was red in color and pulsated dim to bright.  It appeared to be stationary.  It also puls,7/23/2000,33.3527778,-111.7883333
great falls,mt,2000-04-24,23:30:00,unknown,300.0,Beam of light in field&#44 no visble object and no noise&#44 approximitely a mile or less away&#44,8/5/2012,47.5002778,-111.3
riverdale,md,2000-10-31,19:30:00,diamond,20.0,Halloween UFO&#33,1/17/2004,39.0991667,-76.5361111
west danville,vt,2000-08-10,22:30:00,light,180.0,3 faint objects in wedge formation travelling very fast&#44 high  ((NUFORC Note:  Possible sighting of U. S. Navy NOSS satelites.)),10/7/2003,44.4111111,-72.1397222
robstown,tx,2000-06-17,22:00:00,sphere,600.0,not conventional aircraft.........seen from  outdoor patio,6/21/2000,27.79,-97.6686111
calistoga,ca,2000-08-13,10:15:00,triangle,6000.0,four triangular shaped crafts moved slowly over our heads...joining others accross the valley...,8/19/2000,38.5788889,-122.5786111
santa clara,ca,2000-04-20,21:05:00,egg,25.0,Saw orange colored light moving across the sky,4/26/2000,37.3541667,-121.9541667
ferguson,mo,2000-05-04,21:44:00,circle,11.0,Three round white circles were seen traveling north to southbound in the sky. The objects became brighter on approach&#44 then dimmed and,5/11/2000,38.7441667,-90.3052778
los angeles,ca,2000-07-07,21:00:00,light,120.0,As I was driveing on the 10 from west covina to Santa monica I seen this Light in the sky it was brite white and still then it moved up,7/11/2000,34.0522222,-118.2427778
girard,oh,2000-09-19,12:15:00,circle,600.0,At first it seemed random then it was precision all the way and the last one went back and out first 2 hovered.,9/21/2000,41.1538889,-80.7016667
palm springs,ca,2000-08-20,15:00:00,oval,900.0,Bright light over Palm Springs,9/17/2000,33.8302778,-116.5444444
escondido,ca,2000-01-31,22:21:00,circle,480.0,approx 22:21 saw a bright light hovering just east of my front driveway. No noise. The brightness would intensify then subsided then in,2/16/2000,33.1191667,-117.0855556
moab,ut,2000-03-16,03:30:00,disk,120.0,i was walking to my friends house bu untile i saw a sauser.,12/2/2000,38.5733333,-109.5491667
lyndhurst,va,2000-11-20,12:15:00,changing,180.0,Craft changes shapes&#44 disappears and reappears&#44 and changes direction under the clouds while making no noise.,12/2/2000,38.0291667,-78.9452778
west des moines,ia,2000-07-04,22:00:00,circle,3600.0,Red Light Hovering over West Des Moines Iowa,7/23/2000,41.6005556,-93.6088889
bouse,az,2000-04-04,21:05:00,light,5.0,On Ap.4&#442000 approx. 21:05hrs&#44 NNE direction as in previous sightings (towards Prescott).  With 3 witnesses&#44 5 amber ball of light brig,4/15/2000,33.9325,-114.005
lynnwood,wa,2000-06-12,17:20:00,triangle,35.0,Small black oblongish flattened triangle traveling N to W near North Seattle at elevation 30 degrees.,6/21/2000,47.8211111,-122.3138889
thermal (near&#44 torres martinez indian reservation),ca,2000-07-07,21:30:00,light,60.0,A bright white beam and a large&#44 bright blue beam and the white beam object disappeared behind an out of place &#39cloud&#39 .,7/11/2000,33.6402778,-116.1386111
mesa,az,2000-01-02,00:30:00,oval,300.0,golden orb&#39s flying about.,1/10/2009,33.4222222,-111.8219444
los angeles,ca,2000-05-27,22:55:00,formation,45.0,Four aircraft&#44 in an unusual flight path and pattern&#44 travelled&#44 at high speed from west to east over Los Angeles.,6/6/2000,34.0522222,-118.2427778
fairview,mi,2000-10-28,19:30:00,changing,300.0,Sighting in Northern Michigan 10/28/00,12/2/2000,44.725,-84.0511111
union beach,nj,2000-05-14,19:00:00,triangle,120.0,&#9;I was at Union Beach at about 7:00 p.m. in full daylight&#44 and we were walking along and my dad saw a &quot;kite&quot; but later we relized that,6/6/2000,40.4463889,-74.1786111
alma,nm,2000-10-25,21:05:00,light,10.0,Light goes into cloud and what comes out on the other end as three MEGA Size lights 2x the size of our 28 ft. trailer.,12/2/2000,33.3794444,-108.9027778
lynnville,ia,2000-06-09,13:00:00,disk,20.0,It was a bold color of light gray&#44about 3inches across in diameter&#44 and a flat oval shaped saucer&#44it made a very unusual beeping sound,4/8/2002,41.5775,-92.7833333
dubois,wy,2001-08-17,22:19:00,triangle,1920.0,Large fireball and lots of triangular shaped objects flying with irratic and jittery patterns&#44 together and apart.,12/5/2001,43.5336111,-109.6297222
scottsdale,az,2001-11-16,16:23:00,triangle,30.0,Saw silent&#44 triangular craft at early twilight that was almost blended with the sky background.,3/19/2002,33.5091667,-111.8983333
mt. olive,wv,2001-10-15,23:59:00,unknown,60.0,Flying object over Mt.Olive West Virginia,11/28/2007,38.2377778,-81.2336111
kings park,ny,2001-09-13,19:00:00,other,3.0,Pulsating Golden Coil seen at 30 feet height 90 foot distance from observer - floating slowly to earth,10/12/2001,40.8861111,-73.2577778
savannah,ga,2001-06-25,21:00:00,unknown,120.0,Slow moving object (like a helicopter) - bean of light coming out of bottom - disappeared suddenly,8/5/2001,32.0833333,-81.1
rowlett,tx,2001-08-02,20:30:00,rectangle,180.0,Black rectangular quiet no lights flew right over us.,8/5/2001,32.9027778,-96.5636111
ponte vedra beach,fl,2001-06-19,21:00:00,light,14400.0,LIghts in the sky that disappear and re-appear &#44 with missing time..,5/24/2005,30.2394444,-81.3858333
cle elum,wa,2001-07-02,13:25:00,chevron,15.0,Short sighting of chevron formation through polaroid sunglasses,8/5/2001,47.1955556,-120.9380556
toledo,oh,2001-05-24,02:00:00,triangle,1200.0,One light craft and 1(possibly 2) triangular crafts,8/12/2001,41.6638889,-83.5552778
morrilton,ar,2001-03-31,20:00:00,diamond,3600.0,My imagination is pretty normal and i am not one to make things up.,4/28/2001,35.1508333,-92.7438889
tulsa,ok,2001-01-06,21:15:00,light,10.0,Quick moving light that faded out.,2/18/2001,36.1538889,-95.9925
saugus,ca,2001-09-14,20:43:00,light,60.0,Bright star-like light&#44 moveing erratically and at high speed over L.A.&#39s San Gabriel Valley and Mountains 9/14/01,10/12/2001,34.4113889,-118.5391667
columbus,oh,2001-04-20,22:30:00,diamond,60.0,It few over then stopped in a hover position. It looked like the crafts were in a fighter like formation then dispearded.,4/28/2001,39.9611111,-82.9988889
gilbert,az,2001-03-15,15:45:00,flash,120.0,just a Bright white light not a normal airplane light,3/16/2001,33.3527778,-111.7883333
kansas city,mo,2001-09-30,19:00:00,sphere,1200.0,4 spherical lights with one that tried to intercept another before ascending straight up at a rapid rate,11/20/2001,39.0997222,-94.5783333
okmulgee,ok,2001-02-08,11:00:00,triangle,300.0,Was driving south on my road when I noticed a spark of light&#44 thought it was a power line broke cause there was a south wind blowing ab,8/27/2009,35.6233333,-95.9602778
las vegas,nv,2001-03-27,23:58:00,formation,60.0,Flying formation of several oval/cone shaped objects over Bellagio Hotel.,1/31/2004,36.175,-115.1363889
orlando,fl,2001-01-28,18:30:00,cigar,1845.0,Look at the superbowl replay if you saw it or not ask the take they will show the score board and juste at the left of it a fearly fast,2/18/2001,28.5380556,-81.3794444
antioch,ca,2001-04-07,23:23:00,egg,688.0,I was driving to my paper route (east bound). It was a full moon here in Antioch and no clouds were in sight.The time was 11:23pm&#44 I lo,4/28/2001,38.005,-121.8047222
andrews,tx,2001-07-30,21:40:00,oval,10.0,Extemely fast large oval transparent object.,8/5/2001,32.3186111,-102.5452778
chippewa falls,wi,2001-09-22,21:45:00,unknown,300.0,Two extremely loud electical/plastic sounding/zapping explosions overhead at 9:45pm on 09/22/01,10/12/2001,44.9369444,-91.3927778
west windsor,nj,2001-12-07,22:55:00,chevron,30.0,In Wes Windsor NJ&#44 a  glowing&#44 undulating roughly  V-shaped line of light   moved across the sky just under the Orion Constellation.,1/11/2002,40.2422222,-74.5816667
miami beach,fl,2001-11-18,05:30:00,sphere,10.0,this thing was round&#44 metalic&#44fast and had no lights.,1/11/2002,25.7902778,-80.1302778
portland,or,2001-04-28,14:00:00,fireball,180.0,Immediately following a very loud&#44 sharp explosion there was a large burst of flame in the sky&#44 followed by dark smoke. of,8/5/2001,45.5236111,-122.675
sioux center,ia,2001-12-01,22:20:00,unknown,60.0,I WAS WATCHING TV WHEN I NOTICE 2 OBJECTS WITH BLUEISH@RED LIGHTS COMEING OVER THE ROOF OUTLINES OF THE HOUSES JUST SOUTH OF MY HOUSE.,12/5/2001,43.0797222,-96.1752778
yakima,wa,2001-07-20,22:10:00,chevron,5.0,Three delta shaped objects flying in a &quot;v&quot; formation passed over Yakima&#44 Wash. at22:10 on 07/20/01,8/5/2001,46.6022222,-120.5047222
salem,or,2001-09-08,21:30:00,flash,60.0,Four stationary bright flashes in the constellation of the Swan,10/12/2001,44.9430556,-123.0338889
castle rock,co,2001-01-11,20:50:00,fireball,4.0,We saw a very bright white light&#44 looked like the moon setting very quickly.,2/18/2001,39.3722222,-104.8555556
cutchogue,ny,2001-02-19,19:30:00,diamond,300.0,No movement whatsoever detected after observing the object for approximately 5 minutes.,2/24/2001,41.0105556,-72.4855556
st. peter,mn,2001-12-01,22:26:00,light,15.0,object with trail behind it slowly moves across sky to north and then abruptly shoots off in its continuing direction to the north.,12/5/2001,44.3236111,-93.9577778
kahului,hi,2001-12-01,02:00:00,disk,7200.0,Bright Star or Planet  when magnified turns out to be metallic saucer shaped object.,9/4/2003,20.8947222,-156.47
daytona beach,fl,2001-06-24,21:00:00,other,4.0,Green object traveling North to South..ascending slightly upwards,8/5/2001,29.2105556,-81.0230556
madison,wi,2001-07-31,23:15:00,light,5.0,Spherical greenish-white glowing light in the sky moving very fast to the North/Northeast,8/5/2001,43.0730556,-89.4011111
parkesburg,pa,2001-06-25,21:15:00,light,180.0,strange object in sky flying with no noise,8/5/2001,39.9586111,-75.9197222
hamburg,ny,2001-06-13,21:30:00,light,3600.0,I was trying to sleep when out of no were came 4 red and white lights,8/5/2001,42.7158333,-78.8297222
seattle (north),wa,2001-06-29,14:00:00,unknown,1200.0,I saw a stationary white object outside the north window where I work,8/5/2001,47.6063889,-122.3308333
jena,la,2001-12-28,06:00:00,cigar,1200.0,cigar shaped craft north sky&#44 very large moving slow  then fast also coming to a dead stop&#44 very bright silver.,1/11/2002,31.6830556,-92.1336111
redlands,ca,2001-06-10,00:20:00,circle,120.0,orange ball drops tiny orange lights,8/5/2001,34.0555556,-117.1816667
murphy,nc,2001-05-24,22:00:00,light,600.0,I saw a flashing light move in all directions across the sky&#44 then in a final bright flash it was gone.,5/29/2012,35.0875,-84.0347222
pine bush,ny,2001-06-30,23:00:00,triangle,600.0,Black triangle with red lights very up close sighting with 3 witnesses&#44 Red Mill Rd. in Pine Bush NY.,1/24/2012,41.6080556,-74.2994444
denver,co,2001-05-20,14:00:00,oval,600.0,Daytime sighting in Denver City Limits&#44 witnessed UFO color&#44 communications&#44 movements of 6 flying craft.,7/3/2013,39.7391667,-104.9841667
longmont (near),co,2001-06-15,00:48:00,rectangle,300.0,UFO SITING 06/15/01 ALONG I-25 IN COLORADO,8/20/2001,40.1672222,-105.1013889
tupelo,ms,2001-06-24,13:00:00,unknown,3600.0,UFO over Tupelo&#44 Mississippi ????,6/20/2005,34.2575,-88.7033333
warrensburg,mo,2001-05-15,19:00:00,cylinder,900.0,White cylinder  fallowed  airforce jets for about 10 to 15 min. untill out of sight.,7/16/2006,38.7627778,-93.7358333
phoenix,az,2001-10-25,22:20:00,triangle,4.0,thursday oct 25 10:20 pm myself and and 1 other individual wittnessed a triangular shaped craft flying aprox 1000 feet coming from nort,11/20/2001,33.4483333,-112.0733333
miami lakes,fl,2001-09-02,21:10:00,teardrop,30.0,To close and to colorful,10/12/2001,25.9083333,-80.3088889
salisbury,nc,2001-01-23,20:00:00,disk,60.0,The saucer hovered directly above and kept pace with my car  ((NUFORC Note:  No date indicated.  Possible hoax.  PD)),5/24/2005,35.6708333,-80.4744444
antioch,ca,2001-03-12,22:30:00,other,3600.0,Extremely bright green object&#44 with red lights and a strob&#44 randomingly changing its position in the sky.,3/16/2001,38.005,-121.8047222
rifle,co,2001-07-20,20:00:00,fireball,2.0,Green Fire Ball,8/5/2001,39.5347222,-107.7825
cusick,wa,2001-06-06,12:30:00,cigar,3000.0,I was walking in a field when at my three o&#39clock I saw a UFO.,8/5/2001,48.3375,-117.2961111
toledo,oh,2001-06-28,00:45:00,triangle,900.0,In Toledo Ohio on June 28 at 12:45 am a Red Bowed shape object was seen in the sky.  It followed our car and then disappeared.,8/5/2001,41.6638889,-83.5552778
marlboro,ma,2001-04-27,21:00:00,sphere,1200.0,Circular object with rotating lights.,8/5/2001,42.7166667,-70.9736111
south egremont,ma,2001-02-07,19:00:00,changing,2700.0,The Object changed shape&#44 it looked like many white lights(dots)put together outlined in a thin red line&#44 travelling north very slowly.,2/18/2001,42.1605556,-73.4166667
pepperell,ma,2001-09-09,13:02:00,sphere,3.0,I heard an airplane and while looking for it&#44 a small round silvery white object came into view,10/12/2001,42.6658333,-71.5888889
bremerton,wa,2001-08-13,00:30:00,light,3.0,light durring meteor shower,8/20/2001,47.5675,-122.6313889
frontenac,mn,2001-03-15,21:00:00,unknown,15.0,Soundless fast moving craft with red pulsing light on bottom,2/1/2007,44.5111111,-92.3563889
andover,ma,2001-07-23,23:00:00,other,180.0,Random Moving Object,8/5/2001,42.6583333,-71.1375
raleigh,nc,2001-01-04,22:00:00,light,120.0,Blinking light zig-zags and merges with a star.,2/18/2001,35.7719444,-78.6388889
columbia,mo,2001-11-03,17:55:00,other,10.0,unusual speed and definition,11/20/2001,38.9516667,-92.3338889
south bend,in,2001-08-14,13:42:00,rectangle,4.0,At 1342&#44 a low flying&#44 very fast&#44 black coffin shaped UFO flys directly over my head and behind a treeline.,10/12/2001,41.6833333,-86.25
olathe,ks,2001-06-05,22:30:00,other,300.0,Peanut sape heading north&#44 low and fast&#44 No noise,8/5/2001,38.8813889,-94.8188889
rockford,il,2001-01-10,21:30:00,light,600.0,CREATING SYMBOLS OF GREETING OR COMMUNICATION,6/12/2002,42.2711111,-89.0938889
san diego,ca,2001-11-13,03:30:00,triangle,5.0,Triangular Shaped Silent Craft with Red Lights Manouvers Over San Diego,11/20/2001,32.7152778,-117.1563889
boise,id,2001-09-12,03:00:00,other,10.0,Giant blue V flying south over airport during 9-11 no-fly,12/12/2009,43.6136111,-116.2025
newberry,mi,2001-06-09,23:50:00,formation,120.0,3 satilites moving in triangle formation from north west to south east.,8/5/2001,46.355,-85.5094444
tallahassee,fl,2001-11-27,23:00:00,other,60.0,Aircraft with lights spotted over I-10 exit on Capital Circle NW in Tallahassee.,12/5/2001,30.4380556,-84.2808333
bristol,tn,2001-11-10,14:44:00,oval,600.0,spherical metallic object witt tail on leading edge,11/20/2001,36.595,-82.1888889
eugene,or,2001-06-19,20:05:00,light,300.0,a stationary pulsing/flickering light randomly changing from white to orange.,8/5/2001,44.0522222,-123.0855556
mesa,az,2001-06-24,10:31:00,unknown,180.0,At approximately 10:31 am&#44 Sunday morning&#44 I was outside on our back porch smoking a cigarette when a flight of three Air Force trainer,8/5/2001,33.4222222,-111.8219444
gates,or,2001-03-01,04:50:00,triangle,120.0,Triangles seen flying in thin layer of clouds.,8/5/2001,44.7563889,-122.4155556
sewanee,tn,2001-11-17,21:00:00,cylinder,4.0,A glowing cylinder,3/19/2002,35.2030556,-85.9211111
elkton,md,2001-07-11,01:30:00,light,10.0,i had to take my dog out to do his thing &#33&#33&#33 it was a really nice night and a lot of stars out. my dog was doing his thing and i was lo,8/5/2001,39.6066667,-75.8336111
chestnutridge,mo,2001-11-03,01:30:00,circle,120.0,circles of flashing lights seen over ozark mountains,11/20/2001,36.8366667,-93.2516667
avondale,az,2001-01-25,19:00:00,light,7200.0,A very bright stationary light&#44not an aircraft.,2/18/2001,33.4355556,-112.3488889
camden,ny,2001-12-21,20:30:00,circle,180.0,Bright&#44 motionless&#44 Orange Circle decended very fast vertically towards the ground behind the tree line.,1/11/2002,43.3344444,-75.7483333
tecopa,ca,2001-04-29,21:00:00,light,120.0,Stationary light in Tecopa CA 4/29/01,8/5/2001,35.8483333,-116.2255556
