city,state,date__,time__,shape,duration -- seconds,comments,date posted,latitude,longitude 
holmes beach,fl,2012-04-12,09:45:00,formation,600.0,Red Lights in Formation on Gulf of Mexcio:Florida,5/13/2012,27.495,-82.7111111
cathedral city,ca,2012-06-25,20:20:00,rectangle,600.0,We saw bright lights in the night sky that shined right at us and our quick exit felt like it saved us. 500 Lights On Object0: Yes,7/4/2012,33.7797222,-116.4644444
albuquerque,nm,2012-03-06,20:30:00,light,60.0,Did not see an object&#44 just long and fast bursts of extremely bright&#44 white light; some of which shot off at different angles.,3/13/2012,35.0844444,-106.6505556
boston,ma,2012-04-20,17:00:00,cylinder,10800.0,Fighter Jets Chase UFO&#39s over City of Boston,5/13/2012,42.3583333,-71.0602778
saint paul,mn,2012-07-21,00:40:00,rectangle,20.0,One of those orange fireballs&#44 but rectangular in shape.,8/5/2012,44.9444444,-93.0930556
green bay,wi,2012-08-21,20:45:00,oval,600.0,UFO&#39s over Green Bay,9/24/2012,44.5191667,-88.0197222
hazelwood,mo,2012-05-23,02:20:00,other,45.0,Stealth crescent banking maneuver .,7/4/2012,38.7713889,-90.3708333
walls,ms,2012-06-25,00:00:00,triangle,2400.0,Light Signals to music. Ship. Creature.,7/4/2012,34.9577778,-90.1516667
lowell,ma,2012-12-09,13:00:00,triangle,90.0,Triangular cloud maker during daylight.,12/20/2012,42.6333333,-71.3166667
athens,oh,2012-12-20,07:00:00,light,424.0,Three strange orange lights Athens&#44 Ohio.,12/2/2013,39.3291667,-82.1013889
lebanon,ny,2012-06-30,22:45:00,fireball,60.0,Witnessed four bright red orbs hovering in the sky on Rte 20 near Lebanon Valley Speedway,8/5/2012,42.7813889,-75.6480556
meriden,ct,2012-01-03,18:30:00,diamond,1800.0,Bright flickering star shaped UFO over Meriden&#44CT  ((NUFORC Note:  Star or planet??  PD)),1/12/2012,41.5380556,-72.8075
trumbull,ct,2012-03-26,20:13:00,triangle,720.0,Strange Triangle Craft,5/13/2012,41.2427778,-73.2011111
st. charles,il,2012-10-06,22:10:00,light,1200.0,14-15 Red lights over Kane County near St. Charles&#44 Illinos.,10/30/2012,41.9141667,-88.3086111
loris,sc,2012-12-10,20:00:00,light,60.0,3 bright lights - triangular formation.,12/20/2012,34.0561111,-78.8905556
griffith,in,2012-03-18,21:00:00,circle,1800.0,Erratic moving red lights rising in the sky&#44 followed by an unusual number of aircraft in the sky.,5/13/2012,41.5283333,-87.4236111
edison,nj,2012-08-12,20:35:00,fireball,120.0,2 Orange Fireball ufo with Nucleus Looking Centers travelling east to west as fast any  other aircraft,8/19/2012,40.5186111,-74.4125
orlando,fl,2012-04-29,21:30:00,circle,240.0,Reddish orange glowing orbs flying in formation in Orlando at about 9:30 PM April 29&#44 2012,5/13/2012,28.5380556,-81.3794444
north myrtle beach,sc,2012-08-08,21:00:00,formation,300.0,Two instances of strange lights over the ocean&#44 one right after the other.,8/19/2012,33.8158333,-78.6802778
danvers,ma,2012-09-20,00:30:00,oval,60.0,Two oblong objects (whitish/orange hue) travelling straight then stopped&#44 did some figure eight swirls around each other and disappered,9/24/2012,42.575,-70.9305556
east prairie,mo,2012-09-06,09:30:00,sphere,600.0,Orange orb floating low and slow.,9/24/2012,36.7797222,-89.3855556
tooele,ut,2012-08-15,07:30:00,formation,3.0,Downward arc of 5-7 lights disappearing one by one.,10/30/2012,40.5308333,-112.2975
albuquerque,nm,2012-12-21,21:30:00,cylinder,180.0,BRIGHT ORANGISH&#44 solid object; no noise&#44 increased and decreased speed. STOPPED ABOVE MY HOUSE for 1 minute and disappeared/vanishsed&#33,2/4/2013,35.0844444,-106.6505556
moore,ok,2012-07-04,22:30:00,circle,120.0,2 Red Balls Flying North from South. Objects Flying Parallel 1000 feet apart at kite level. Silent.  Disappeared,8/5/2012,35.3394444,-97.4863889
jonesboro,il,2012-08-12,22:30:00,formation,1200.0,Large red light with smaller white flashing lights,9/24/2012,37.4516667,-89.2680556
west edmeston,ny,2012-06-22,21:15:00,fireball,60.0,Orange fireball in the evening sky,7/4/2012,42.6977778,-75.2441667
schaumburg,il,2012-07-28,21:00:00,light,120.0,We were sitting outside&#44 when I saw 2 burnt orange color lights floating in the southeast sky&#44 below the half shaped moon. There was no,8/5/2012,42.0333333,-88.0833333
washington,dc,2012-07-04,21:06:00,sphere,5.5,Luminous spheres in flight&#44 then suddenly vanishing into nothingness,8/5/2012,38.895,-77.0366667
myrtle beach,sc,2012-07-18,09:30:00,fireball,2.0,At first one orange/reddish light was on 2 sec. later another light came on than both went out for 2 sec. and both came on at the same,8/5/2012,33.6888889,-78.8869444
phoenix,az,2012-03-09,07:20:00,light,720.0,5 UFO&#39s lined up holding still,3/13/2012,33.4483333,-112.0733333
malden,ma,2012-09-09,05:35:00,triangle,60.0,Triangular in shape. Moving forward and flying low. Lights blue&#44 yellow&#44 green. Was not revolving but instead moving like a plane would,9/24/2012,42.425,-71.0666667
huntley,il,2012-09-02,09:00:00,oval,8.0,We were sitting in our backyard around a bonfire when we saw a craft fly up out of the eastern sky. It moved westerly over our house.,9/24/2012,42.1680556,-88.4280556
north myrtle beach,sc,2012-10-05,20:35:00,light,480.0,More Reddish-Orange light activity in North Myrtle Beach&#44 SC.,10/30/2012,33.8158333,-78.6802778
waxhaw,nc,2012-08-25,22:25:00,circle,300.0,15-20 red lights in the sky were  hovering low in a staggered formation south of Charlotte for 5 min&#44 then each moved northwest,9/24/2012,34.9244444,-80.7436111
