;Region,Year,;Trigger,;Weak Layer,Depth_inches,Elevation_feet,Vertical_inches,Coordinates,Month,;Aspect,Day
Salt Lake,2017,Skier,New Snow/Old Snow Interface,24,10400.0,2400.0,"40.578102595724, -111.597125517470",1,Northeast,22
Ogden,2017,Unknown,New Snow/Old Snow Interface,6,6200.0,600.0,"41.205022162120, -111.820328222860",1,North,22
Salt Lake,2017,Natural,New Snow/Old Snow Interface,24,9600.0,7200.0,"40.667244136546, -111.603916870680",1,East,23
Salt Lake,2017,Skier,New Snow/Old Snow Interface,36,9600.0,2400.0,"40.645828517769, -111.579809176070",1,North,24
Salt Lake,2017,Skier,New Snow/Old Snow Interface,24,8600.0,7200.0,"40.638469091403, -111.610407816500",1,Southwest,24
Ogden,2017,Natural,Facets,48,6400.0,960.0,"41.384728955402, -111.934890734300",1,North,23
Ogden,2017,Unknown,Unknown,36,6700.0,3600.0,"41.378483087131, -111.926479326820",1,Northeast,23
Ogden,2017,Unknown,Unknown,42,6800.0,5400.0,"41.379062719297, -111.930513369190",1,North,23
Logan,2017,Natural,Surface Hoar,24,5600.0,4800.0,"41.891350861876, -112.061654101150",1,Northeast,25
Moab,2017,Natural,New Snow/Old Snow Interface,36,11300.0,12000.0,"38.450810782715, -109.262723909950",1,East,22
Moab,2017,Natural,Facets,30,11100.0,15000.0,"38.449813539070, -109.261307703610",1,Northeast,22
Moab,2017,Natural,Facets,30,11100.0,9600.0,"38.447785925371, -109.261007296180",1,Northeast,22
Skyline,2017,Snowmobiler,Unknown,20,9000.0,360.0,"39.471873677403, -111.358087050060",1,North,24
Uintas,2017,Skier,Facets,36,10500.0,360.0,"40.828096836583, -111.008005129440",1,East,25
Salt Lake,2017,Skier,Surface Hoar,20,7900.0,2400.0,"40.722220850222, -111.677205549830",1,Northwest,25
Uintas,2017,Snowmobiler,Surface Hoar,24,9500.0,1200.0,"40.492611098001, -111.035213457690",1,North,26
Logan,2017,Unknown,Surface Hoar,24,6600.0,1200.0,"41.688563310627, -111.742625480280",1,Northwest,26
Salt Lake,2017,Unknown,Unknown,24,10100.0,6000.0,"40.668041391419, -111.684801565750",1,East,23
Salt Lake,2017,Unknown,New Snow,18,10300.0,15000.0,"40.593310842521, -111.660125242820",1,Southeast,27
Salt Lake,2017,Skier,Surface Hoar,18,7600.0,1080.0,"40.732836040398, -111.603316055870",1,Northeast,27
Salt Lake,2017,Skier,Facets,30,9100.0,6000.0,"40.682675364611, -111.600108133890",1,Southeast,27
Salt Lake,2017,Skier,Facets,24,9400.0,3000.0,"40.691442614376, -111.608927237130",1,East,27
Salt Lake,2017,Skier,New Snow,12,10700.0,2400.0,"40.545700151922, -111.651134478200",1,East,27
Skyline,2017,Natural,New Snow/Old Snow Interface,16,10200.0,2400.0,"39.232508167161, -111.470503794290",1,Southeast,27
Salt Lake,2017,Skier,Surface Hoar,24,7600.0,3600.0,"40.700154061246, -111.626286493890",1,Northeast,29
Salt Lake,2017,Skier,Facets,18,7000.0,2400.0,"40.773000863684, -111.462650286300",1,Northwest,29
Salt Lake,2017,Unknown,Unknown,36,10300.0,7200.0,"40.539525918840, -111.693221216120",1,Northeast,24
Salt Lake,2017,Natural,Unknown,36,9600.0,15000.0,"40.602028488839, -111.724412428470",2,North,3
Uintas,2017,Skier,Unknown,16,9400.0,720.0,"40.825695317093, -111.064202772710",2,East,3
Logan,2017,Natural,Wet grains,12,6500.0,8400.0,"41.820463817932, -111.599088649560",2,West,5
Logan,2017,Natural,Unknown,12,6000.0,3600.0,"41.824989403587, -111.600301252940",2,West,7
Moab,2017,Natural,Facets,36,11500.0,15000.0,"38.458278906536, -109.246716486550",1,Northeast,22
Logan,2017,Natural,Unknown,30,8900.0,30000.0,"41.653899965521, -112.014284121130",2,Northeast,11
Salt Lake,2017,Skier,New Snow/Old Snow Interface,10,10100.0,4800.0,"40.624001870544, -111.566226469640",2,Northeast,11
